"EntityName_EN","ViewName","ViewLanguage","TotalRows","ViewError","ColumnName","NonNullCount","IsAllNull","MapStatus","PsseSourceSchema","PsseSourceObject","PsseColumnName","SourceExpression"
"Assignments","Assignments","EN","1772",,"ProjectId","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","ProjectUID","src.[ProjectUID]"
"Assignments","Assignments","EN","1772",,"AssignmentId","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentUID","src.[AssignmentUID]"
"Assignments","Assignments","EN","1772",,"AssignmentActualCost","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentActualCost","src.[AssignmentActualCost]"
"Assignments","Assignments","EN","1772",,"AssignmentActualFinishDate","442","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentActualFinishDate","src.[AssignmentActualFinishDate]"
"Assignments","Assignments","EN","1772",,"AssignmentActualOvertimeCost","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentActualOvertimeCost","src.[AssignmentActualOvertimeCost]"
"Assignments","Assignments","EN","1772",,"AssignmentActualOvertimeWork","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentActualOvertimeWork","src.[AssignmentActualOvertimeWork]"
"Assignments","Assignments","EN","1772",,"AssignmentActualRegularCost","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentActualRegularCost","src.[AssignmentActualRegularCost]"
"Assignments","Assignments","EN","1772",,"AssignmentActualRegularWork","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentActualRegularWork","src.[AssignmentActualRegularWork]"
"Assignments","Assignments","EN","1772",,"AssignmentActualStartDate","462","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentActualStartDate","src.[AssignmentActualStartDate]"
"Assignments","Assignments","EN","1772",,"AssignmentActualWork","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentActualWork","src.[AssignmentActualWork]"
"Assignments","Assignments","EN","1772",,"AssignmentACWP","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentACWP","src.[AssignmentACWP]"
"Assignments","Assignments","EN","1772",,"AssignmentAllUpdatesApplied","0","True","MAPPED","pjrep","MSP_EpmAssignmentsApplied_UserView","AssignmentAllUpdatesApplied","jAssignApplied.[AssignmentAllUpdatesApplied]"
"Assignments","Assignments","EN","1772",,"AssignmentBCWP","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentBCWP","src.[AssignmentBCWP]"
"Assignments","Assignments","EN","1772",,"AssignmentBCWS","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentBCWS","src.[AssignmentBCWS]"
"Assignments","Assignments","EN","1772",,"AssignmentBookingDescription","1772","False","MAPPED","pjrep","MSP_EpmAssignmentBooking","AssignmentBookingDescription","j1.[AssignmentBookingDescription]"
"Assignments","Assignments","EN","1772",,"AssignmentBookingId","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentBookingID","src.[AssignmentBookingID]"
"Assignments","Assignments","EN","1772",,"AssignmentBookingName","1772","False","MAPPED","pjrep","MSP_EpmAssignmentBooking","AssignmentBookingName","j1.[AssignmentBookingName]"
"Assignments","Assignments","EN","1772",,"AssignmentBudgetCost","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentBudgetCost","src.[AssignmentBudgetCost]"
"Assignments","Assignments","EN","1772",,"AssignmentBudgetMaterialWork","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentBudgetMaterialWork","src.[AssignmentBudgetMaterialWork]"
"Assignments","Assignments","EN","1772",,"AssignmentBudgetWork","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentBudgetWork","src.[AssignmentBudgetWork]"
"Assignments","Assignments","EN","1772",,"AssignmentCost","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentCost","src.[AssignmentCost]"
"Assignments","Assignments","EN","1772",,"AssignmentCostVariance","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentCostVariance","src.[AssignmentCostVariance]"
"Assignments","Assignments","EN","1772",,"AssignmentCreatedDate","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentCreatedDate","src.[AssignmentCreatedDate]"
"Assignments","Assignments","EN","1772",,"AssignmentCreatedRevisionCounter","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentCreatedRevisionCounter","src.[AssignmentCreatedRevisionCounter]"
"Assignments","Assignments","EN","1772",,"AssignmentCV","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentCV","src.[AssignmentCV]"
"Assignments","Assignments","EN","1772",,"AssignmentDelay","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentDelay","src.[AssignmentDelay]"
"Assignments","Assignments","EN","1772",,"AssignmentFinishDate","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentFinishDate","src.[AssignmentFinishDate]"
"Assignments","Assignments","EN","1772",,"AssignmentFinishVariance","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentFinishVariance","src.[AssignmentFinishVariance]"
"Assignments","Assignments","EN","1772",,"AssignmentIsOverallocated","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentIsOverallocated","src.[AssignmentIsOverallocated]"
"Assignments","Assignments","EN","1772",,"AssignmentIsPublished","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentIsPublished","src.[AssignmentIsPublished]"
"Assignments","Assignments","EN","1772",,"AssignmentMaterialActualWork","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentMaterialActualWork","src.[AssignmentMaterialActualWork]"
"Assignments","Assignments","EN","1772",,"AssignmentMaterialWork","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentMaterialWork","src.[AssignmentMaterialWork]"
"Assignments","Assignments","EN","1772",,"AssignmentModifiedDate","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentModifiedDate","src.[AssignmentModifiedDate]"
"Assignments","Assignments","EN","1772",,"AssignmentModifiedRevisionCounter","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentModifiedRevisionCounter","src.[AssignmentModifiedRevisionCounter]"
"Assignments","Assignments","EN","1772",,"AssignmentOvertimeCost","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentOvertimeCost","src.[AssignmentOvertimeCost]"
"Assignments","Assignments","EN","1772",,"AssignmentOvertimeWork","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentOvertimeWork","src.[AssignmentOvertimeWork]"
"Assignments","Assignments","EN","1772",,"AssignmentPeakUnits","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentPeakUnits","src.[AssignmentPeakUnits]"
"Assignments","Assignments","EN","1772",,"AssignmentPercentWorkCompleted","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentPercentWorkCompleted","src.[AssignmentPercentWorkCompleted]"
"Assignments","Assignments","EN","1772",,"AssignmentRegularCost","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentRegularCost","src.[AssignmentRegularCost]"
"Assignments","Assignments","EN","1772",,"AssignmentRegularWork","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentRegularWork","src.[AssignmentRegularWork]"
"Assignments","Assignments","EN","1772",,"AssignmentRemainingCost","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentRemainingCost","src.[AssignmentRemainingCost]"
"Assignments","Assignments","EN","1772",,"AssignmentRemainingOvertimeCost","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentRemainingOvertimeCost","src.[AssignmentRemainingOvertimeCost]"
"Assignments","Assignments","EN","1772",,"AssignmentRemainingOvertimeWork","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentRemainingOvertimeWork","src.[AssignmentRemainingOvertimeWork]"
"Assignments","Assignments","EN","1772",,"AssignmentRemainingRegularCost","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentRemainingRegularCost","src.[AssignmentRemainingRegularCost]"
"Assignments","Assignments","EN","1772",,"AssignmentRemainingRegularWork","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentRemainingRegularWork","src.[AssignmentRemainingRegularWork]"
"Assignments","Assignments","EN","1772",,"AssignmentRemainingWork","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentRemainingWork","src.[AssignmentRemainingWork]"
"Assignments","Assignments","EN","1772",,"AssignmentResourcePlanWork","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentResourcePlanWork","src.[AssignmentResourcePlanWork]"
"Assignments","Assignments","EN","1772",,"AssignmentResourceType","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentResourceType","src.[AssignmentResourceType]"
"Assignments","Assignments","EN","1772",,"AssignmentStartDate","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentStartDate","src.[AssignmentStartDate]"
"Assignments","Assignments","EN","1772",,"AssignmentStartVariance","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentStartVariance","src.[AssignmentStartVariance]"
"Assignments","Assignments","EN","1772",,"AssignmentSV","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentSV","src.[AssignmentSV]"
"Assignments","Assignments","EN","1772",,"AssignmentType","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentType","src.[AssignmentType]"
"Assignments","Assignments","EN","1772",,"AssignmentUpdatesAppliedDate","0","True","MAPPED","pjrep","MSP_EpmAssignmentsApplied_UserView","AssignmentUpdatesAppliedDate","jAssignApplied.[AssignmentUpdatesAppliedDate]"
"Assignments","Assignments","EN","1772",,"AssignmentVAC","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentVAC","src.[AssignmentVAC]"
"Assignments","Assignments","EN","1772",,"AssignmentWork","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentWork","src.[AssignmentWork]"
"Assignments","Assignments","EN","1772",,"AssignmentWorkVariance","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentWorkVariance","src.[AssignmentWorkVariance]"
"Assignments","Assignments","EN","1772",,"IsPublic","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","IsPublic","src.[IsPublic]"
"Assignments","Assignments","EN","1772",,"ProjectName","1772","False","MAPPED","pjrep","MSP_WssIssueTaskAssociation_UserView","ProjectName","jProject.[ProjectName]"
"Assignments","Assignments","EN","1772",,"ResourceId","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","ResourceUID","src.[ResourceUID]"
"Assignments","Assignments","EN","1772",,"ResourceName","1772","False","MAPPED","pjrep","MSP_EpmResource_UserView","ResourceName","jResource.[ResourceName]"
"Assignments","Assignments","EN","1772",,"TaskId","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","TaskUID","src.[TaskUID]"
"Assignments","Assignments","EN","1772",,"TaskIsActive","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","TaskIsActive","src.[TaskIsActive]"
"Assignments","Assignments","EN","1772",,"TaskName","1772","False","MAPPED","pjrep","MSP_WssIssueTaskAssociation_UserView","TaskName","jTask.[TaskName]"
"Assignments","Assignments","EN","1772",,"TimesheetClassId","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","TimesheetClassUID","src.[TimesheetClassUID]"
"Assignments","Assignments","EN","1772",,"TypeDescription","1772","False","MAPPED","pjrep","MSP_EpmAssignmentType","TypeDescription","j3.[TypeDescription]"
"Assignments","Assignments","EN","1772",,"TypeName","1772","False","MAPPED","pjrep","MSP_EpmAssignmentType","TypeName","j3.[TypeName]"
"Assignments","Assignments","EN","1772",,"RBS_R","941","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","RBS_R","src.[RBS_R]"
"Assignments","Assignments","EN","1772",,"Typedecoût_R","0","True","MAPPED","pjrep","MSP_EpmAssignment_UserView","Type de coût_R","src.[Type de coût_R]"
"Assignments","Assignments","EN","1772",,"Servicesderessources_R","0","True","MAPPED","pjrep","MSP_EpmAssignment_UserView","Services de ressources_R","src.[Services de ressources_R]"
"Assignments","Assignments","EN","1772",,"Sante_T","309","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","Sante_T","src.[Sante_T]"
"Assignments","Assignments","EN","1772",,"Étatdel’indicateur_T","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","État de l’indicateur_T","src.[État de l’indicateur_T]"
"Assignments","Assignments","EN","1772",,"Afficherrapport_T","0","True","MAPPED","pjrep","MSP_EpmAssignment_UserView","Afficher rapport_T","src.[Afficher rapport_T]"
"Assignments","Assignments","EN","1772",,"Catdepenses_R","0","True","MAPPED","pjrep","MSP_EpmAssignment_UserView","Cat depenses_R","src.[Cat depenses_R]"
"Assignments","Assignments","EN","1772",,"CodelivrableGID_T","0","True","MAPPED","pjrep","MSP_EpmAssignment_UserView","Code livrable GID_T","src.[Code livrable GID_T]"
"Assignments","Assignments","EN","1772",,"Commentaire_GPR_T","0","True","MAPPED","pjrep","MSP_EpmAssignment_UserView","Commentaire_GPR_T","src.[Commentaire_GPR_T]"
"Assignments","Assignments","EN","1772",,"Corpsemploi_R","709","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","Corps emploi_R","src.[Corps emploi_R]"
"Assignments","Assignments","EN","1772",,"DateapprouvéeDGEI_T","0","True","MAPPED","pjrep","MSP_EpmAssignment_UserView","Date approuvée DGEI_T","src.[Date approuvée DGEI_T]"
"Assignments","Assignments","EN","1772",,"DatedemandéeDGT_T","0","True","MAPPED","pjrep","MSP_EpmAssignment_UserView","Date demandée DGT_T","src.[Date demandée DGT_T]"
"Assignments","Assignments","EN","1772",,"Dateoccupation_T","0","True","MAPPED","pjrep","MSP_EpmAssignment_UserView","Date occupation_T","src.[Date occupation_T]"
"Assignments","Assignments","EN","1772",,"Indicateurtypetâche_T","1757","False","MAPPED","","","LT_VALUE_TEXT","jITT_LTV_A.[LT_VALUE_TEXT]"
"Assignments","Assignments","EN","1772",,"Lots_T","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","Lots_T","src.[Lots_T]"
"Assignments","Assignments","EN","1772",,"NodedossierAGI_T","0","True","MAPPED","pjrep","MSP_EpmAssignment_UserView","No de dossier AGI_T","src.[No de dossier AGI_T]"
"Assignments","Assignments","EN","1772",,"NU_R","0","True","MAPPED","pjrep","MSP_EpmAssignment_UserView","NU_R","src.[NU_R]"
"Assignments","Assignments","EN","1772",,"Numerodelot_T","0","True","MAPPED","pjrep","MSP_EpmAssignment_UserView","Numero de lot_T","src.[Numero de lot_T]"
"Assignments","Assignments","EN","1772",,"Prisedepossessionlégale_T","0","True","MAPPED","pjrep","MSP_EpmAssignment_UserView","Prise de possession légale_T","src.[Prise de possession légale_T]"
"Assignments","Assignments","EN","1772",,"UA_R","941","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","UA_R","src.[UA_R]"
"Assignments","Assignments","EN","1772",,"WBSGPR_T","1567","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","WBS GPR_T","src.[WBS GPR_T]"
"Assignments","Assignments","EN","1772",,"DernierPCatteinttache_T","0","True","MAPPED","pjrep","MSP_EpmAssignment_UserView","Dernier PC atteint tache_T","src.[Dernier PC atteint tache_T]"
"Assignments","Assignments","EN","1772",,"ÉcartPC0PC1_T","0","True","MAPPED","pjrep","MSP_EpmAssignment_UserView","Écart PC0-PC1_T","src.[Écart PC0-PC1_T]"
"Assignments","Assignments","EN","1772",,"ÉcartPC0PC2_T","0","True","MAPPED","pjrep","MSP_EpmAssignment_UserView","Écart PC0-PC2_T","src.[Écart PC0-PC2_T]"
"Assignments","Assignments","EN","1772",,"ÉcartPC0PC3_T","0","True","MAPPED","pjrep","MSP_EpmAssignment_UserView","Écart PC0-PC3_T","src.[Écart PC0-PC3_T]"
"Assignments","Assignments","EN","1772",,"ÉcartPC0PC4_T","0","True","MAPPED","pjrep","MSP_EpmAssignment_UserView","Écart PC0-PC4_T","src.[Écart PC0-PC4_T]"
"Assignments","Assignments","EN","1772",,"ÉcartPC0PC5_T","0","True","MAPPED","pjrep","MSP_EpmAssignment_UserView","Écart PC0-PC5_T","src.[Écart PC0-PC5_T]"
"Assignments","Assignments","EN","1772",,"ÉcartPC0PC6_T","0","True","MAPPED","pjrep","MSP_EpmAssignment_UserView","Écart PC0-PC6_T","src.[Écart PC0-PC6_T]"
"Assignments","Assignments","EN","1772",,"ÉcartPC0PC7_T","0","True","MAPPED","pjrep","MSP_EpmAssignment_UserView","Écart PC0-PC7_T","src.[Écart PC0-PC7_T]"
"Assignments","Assignments","EN","1772",,"Nodedossier_T","10","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","No de dossier_T","src.[No de dossier_T]"
"Assignments","Assignments","EN","1772",,"Servicespublics_T","0","True","MAPPED","pjrep","MSP_EpmAssignment_UserView","Services publics_T","src.[Services publics_T]"
"Assignments","Assignments","EN","1772",,"Statut_T","0","True","MAPPED","pjrep","MSP_EpmAssignment_UserView","Statut_T","src.[Statut_T]"
"Assignments","Assignments","EN","1772",,"Typeterrain_T","0","True","MAPPED","pjrep","MSP_EpmAssignment_UserView","Type terrain_T","src.[Type terrain_T]"
"Assignments","Assignments","EN","1772",,"Baseline","0","True","NAVIGATION","","","",""
"Assignments","Assignments","EN","1772",,"Project","0","True","NAVIGATION","","","",""
"Assignments","Assignments","EN","1772",,"Resource","0","True","NAVIGATION","","","",""
"Assignments","Assignments","EN","1772",,"Task","0","True","NAVIGATION","","","",""
"Assignments","Assignments","EN","1772",,"TimephasedData","0","True","NAVIGATION","","","",""
"Assignments","Affectations","FR","1772",,"IdProjet","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","ProjectUID","src.[ProjectUID]"
"Assignments","Affectations","FR","1772",,"IdAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentUID","src.[AssignmentUID]"
"Assignments","Affectations","FR","1772",,"CoûtRéelAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentActualCost","src.[AssignmentActualCost]"
"Assignments","Affectations","FR","1772",,"AffectationDateFinRéelle","442","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentActualFinishDate","src.[AssignmentActualFinishDate]"
"Assignments","Affectations","FR","1772",,"CoûtHeuresSupplémentairesRéellesAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentActualOvertimeCost","src.[AssignmentActualOvertimeCost]"
"Assignments","Affectations","FR","1772",,"HeuresSupplémentairesRéellesAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentActualOvertimeWork","src.[AssignmentActualOvertimeWork]"
"Assignments","Affectations","FR","1772",,"CoûtNormalRéelAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentActualRegularCost","src.[AssignmentActualRegularCost]"
"Assignments","Affectations","FR","1772",,"TravailNormalRéelAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentActualRegularWork","src.[AssignmentActualRegularWork]"
"Assignments","Affectations","FR","1772",,"AffectationDateDébutRéelle","462","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentActualStartDate","src.[AssignmentActualStartDate]"
"Assignments","Affectations","FR","1772",,"AffectationTravailRéel","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentActualWork","src.[AssignmentActualWork]"
"Assignments","Affectations","FR","1772",,"CRTEAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentACWP","src.[AssignmentACWP]"
"Assignments","Affectations","FR","1772",,"AssignmentAllUpdatesApplied","0","True","MAPPED","pjrep","MSP_EpmAssignmentsApplied_UserView","AssignmentAllUpdatesApplied","jAssignApplied.[AssignmentAllUpdatesApplied]"
"Assignments","Affectations","FR","1772",,"VAAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentBCWP","src.[AssignmentBCWP]"
"Assignments","Affectations","FR","1772",,"VPAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentBCWS","src.[AssignmentBCWS]"
"Assignments","Affectations","FR","1772",,"DescriptionRéservationAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignmentBooking","AssignmentBookingDescription","j1.[AssignmentBookingDescription]"
"Assignments","Affectations","FR","1772",,"IdRéservationAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentBookingID","src.[AssignmentBookingID]"
"Assignments","Affectations","FR","1772",,"NomRéservationAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignmentBooking","AssignmentBookingName","j1.[AssignmentBookingName]"
"Assignments","Affectations","FR","1772",,"CoûtBudgétaireAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentBudgetCost","src.[AssignmentBudgetCost]"
"Assignments","Affectations","FR","1772",,"TravailMatériauBudgétaireAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentBudgetMaterialWork","src.[AssignmentBudgetMaterialWork]"
"Assignments","Affectations","FR","1772",,"TravailBudgétaireAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentBudgetWork","src.[AssignmentBudgetWork]"
"Assignments","Affectations","FR","1772",,"AffectationCoût","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentCost","src.[AssignmentCost]"
"Assignments","Affectations","FR","1772",,"VarianceCoûtAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentCostVariance","src.[AssignmentCostVariance]"
"Assignments","Affectations","FR","1772",,"DateCréationAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentCreatedDate","src.[AssignmentCreatedDate]"
"Assignments","Affectations","FR","1772",,"CompteurRévisionsCrééAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentCreatedRevisionCounter","src.[AssignmentCreatedRevisionCounter]"
"Assignments","Affectations","FR","1772",,"VCAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentCV","src.[AssignmentCV]"
"Assignments","Affectations","FR","1772",,"RetardAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentDelay","src.[AssignmentDelay]"
"Assignments","Affectations","FR","1772",,"AffectationDateFin","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentFinishDate","src.[AssignmentFinishDate]"
"Assignments","Affectations","FR","1772",,"VarianceFinAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentFinishVariance","src.[AssignmentFinishVariance]"
"Assignments","Affectations","FR","1772",,"AffectationEstSurutilisée","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentIsOverallocated","src.[AssignmentIsOverallocated]"
"Assignments","Affectations","FR","1772",,"AffectationEstPubliée","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentIsPublished","src.[AssignmentIsPublished]"
"Assignments","Affectations","FR","1772",,"TravailRéelMatériauAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentMaterialActualWork","src.[AssignmentMaterialActualWork]"
"Assignments","Affectations","FR","1772",,"TravailMatériauAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentMaterialWork","src.[AssignmentMaterialWork]"
"Assignments","Affectations","FR","1772",,"AffectationDateModification","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentModifiedDate","src.[AssignmentModifiedDate]"
"Assignments","Affectations","FR","1772",,"CompteurRévisionsModifiéAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentModifiedRevisionCounter","src.[AssignmentModifiedRevisionCounter]"
"Assignments","Affectations","FR","1772",,"CoûtHeuresSupplémentairesAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentOvertimeCost","src.[AssignmentOvertimeCost]"
"Assignments","Affectations","FR","1772",,"HeuresSupplémentairesAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentOvertimeWork","src.[AssignmentOvertimeWork]"
